Sample,percN,massN,percC,massC,CN
Cond-A,1.17,0.083531453,46.08,3.83657905,45.92975366
Cond-B,0.96,0.068538628,46.61,3.88070637,56.62071866
Cond-C,1.06,0.075678068,45.89,3.820759822,50.48701567
UCA,1.55,0.110661326,48.46,4.034735694,36.46021448
UCB,1.14,0.081389621,48.4,4.029740148,49.51172047
UC-C,0.95,0.067824684,48.08,4.003097238,59.0212443
Bag A,0.09,0.006425496,43.23,3.599290633,560.1576011
Bag B,0.1,0.00713944,42.71,3.555995904,498.0776782
Bag C,0.19,0.013564937,43.08,3.586801768,264.4171386
